Pays;PNB (en m€);résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales Périmètre en +;Total Filiales ;Filiales;Activités;Méthode de consolidation
France;;;;;;;;;;Nova immo;Office space;
France;;;;;;;;;;Oceor lease Reunion;Non real estate leasing;
France;;;;;;;;;;Oceorane;Financial investment advisory services;
France;;;;;;;;;;OCPI immo exploitation;Office space;
France;;;;;;;;;;OPCI Natixis Lease investment;Real estate funds;
France;;;;;;;;;;OSSIAM;Asset Management;
France;;;;;;;;;;Ouest croissance SCR;Private equity;
France;;;;;;;;;;Oxiane;Real estate and non real estate leasing;
France;;;;;;;;;;Palatine asset management;Asset Management;
France;;;;;;;;;;Parnasse finances;Portfolio management;
France;;;;;;;;;;Parnasse garanties;Insurance;Mise en équivalence
France;;;;;;;;;;participations BPSO;Holding company;
France;;;;;;;;;;Perspectives et participations;Private equity;
France;;;;;;;;;;Phidias;Office space;
France;;;;;;;;;;Philae SAS;Office space;
France;;;;;;;;;;Pierre Paul Riquet;Office space;
France;;;;;;;;;;Plusexpansion;Holding company;
France;;;;;;;;;;Prepar courtage;Insurance brokerage;
France;;;;;;;;;;Prepar IARD;Non-life insurance;
France;;;;;;;;;;Prepar-vie;Life-insurance and capitalization;
France;;;;;;;;;;Promepar gestion;portfolio management;
France;;;;;;;;;;Providente SA;Equity interest purchasing;
France;;;;;;;;;;Rangueil Cormiers;Office space;
France;;;;;;;;;;RIOU;Office space;
France;;;;;;;;;;Sacogiva;Semi-public company;
France;;;;;;;;;;SAS Alpes Developpement Durable investissement;Private equity;
France;;;;;;;;;;SAS Financière de Champlain;Portfolio management;
France;;;;;;;;;;SAS foncière des caisses d'Epargne;Real estate investment;
France;;;;;;;;;;SAS foncière écureuil;Real estate investment;
France;;;;;;;;;;SAS foncière écureuil II;Real estate investment;
France;;;;;;;;;;SAS GCE PAV immobilier;Office space;
France;;;;;;;;;;SAS imobilière Natixis Bail;Real estate leasing;
France;;;;;;;;;;SAS Tasta;Services company;
France;;;;;;;;;;SASU BFC Croissance;Private equity;
France;;;;;;;;;;Savoisienne;Holding company;
France;;;;;;;;;;SBE;Bank;
France;;;;;;;;;;SC RES Ailes d'Icare;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Carre des pionniers;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Charles Lindbergh;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Croix du Sud;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Ilot J;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Latecoere;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Louis Breguet;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Mermoz;Office space;Mise en équivalence
France;;;;;;;;;;SC RES Saint Exupery;Office space;Mise en équivalence
France;;;;;;;;;;SCA Ecufoncier;Finance company;
France;;;;;;;;;;SCI Altair 1;Office space;
France;;;;;;;;;;SCI Altair 2;Office space;
France;;;;;;;;;;SCI BPSO;Office space;
France;;;;;;;;;;SCI BPSO 11 Morlaas;Office space;
France;;;;;;;;;;SCI BPSO Bastide;Office space;
France;;;;;;;;;;SCI BPSO Cambo;Office space;
France;;;;;;;;;;SCI BPSO Conde souvenir;Office space;
France;;;;;;;;;;SCI BPSO Gujan;Office space;
France;;;;;;;;;;SCI BPSO Le Bouscat;Office space;
France;;;;;;;;;;SCI BPSO Le Haillan;Office space;
France;;;;;;;;;;SCI BPSO Lesparre;Office space;
France;;;;;;;;;;SCI BPSO Libourne-Est;Office space;
France;;;;;;;;;;SCI BPSO Marne;Office space;
France;;;;;;;;;;SCI BPSO Merignac 4 chemins;Office space;
France;;;;;;;;;;SCI BPSO Pessac;Office space;
France;;;;;;;;;;SCI BPSO Pessac Centre;Office space;
France;;;;;;;;;;SCI BPSO St Amand;Office space;
France;;;;;;;;;;SCI BPSO St André;Office space;
France;;;;;;;;;;SCI BPSO St Esprit;Office space;
France;;;;;;;;;;SCI BPSO St Paul;Office space;
France;;;;;;;;;;SCI BPSO Talence;Office space;
France;;;;;;;;;;SCI Credimar;Office space;
France;;;;;;;;;;SCI Champs-Elysées;Office space;
France;;;;;;;;;;SCI dans la ville;Office space;
France;;;;;;;;;;SCI du Crédit coopératif de  Saint Denis;Office space;
France;;;;;;;;;;SCI faidherbe;Office space;
France;;;;;;;;;;SCI foncière 1;Real estate investment;
France;;;;;;;;;;SCI Garibaldi office;Office space;
France;;;;;;;;;;SCI La Boétie;Property Management;
France;;;;;;;;;;SCI Lafayette Bureaux;Office space;
France;;;;;;;;;;SCI Le ciel;Office space;
France;;;;;;;;;;SCI Le relais;Office space;
France;;;;;;;;;;SCI Pythéas Prado 1;Office space;
France;;;;;;;;;;SCI Pytheas Prado 2;Office space;
France;;;;;;;;;;SCI Saccef;Property Management;
France;;;;;;;;;;SCI Saint-Denis;Office space;
France;;;;;;;;;;SCI Tournon;Office space;
France;;;;;;;;;;SCI Valmy Coupole;Office space;
France;;;;;;;;;;Scribe Bail activ SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Scribe Bail COM SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Scribe Bail hôtel SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Scribe Bail logis SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Scribe Bail SARL;Real estate and non real estate leasing;
France;;;;;;;;;;Scribe bail tertiaire SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Scribeuro SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Segimlor;Office space;
France;;;;;;;;;;Selection 1818;Distribution of financial products for IWMAs;
France;;;;;;;;;;Serexim;Real estate consulting;
France;;;;;;;;;;Seventure Partners;Asset Management;
France;;;;;;;;;;SGTI;Cooperative shareholder;
France;;;;;;;;;;Si Equinoxe;Holding company;
France;;;;;;;;;;SIMC;Holding company;
France;;;;;;;;;;SMI;Portfolio management;
France;;;;;;;;;;SNC Ecureuil 5 rue Masseran;Real estate investment;
France;;;;;;;;;;SOCFIM;Bank;
France;;;;;;;;;;SOCFIM participations immobilières;Holding company;
France;;;;;;;;;;Sociétariat BP Bourgogne Franche-comté;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP Côte d'Azur;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP de l'Ouest;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP des Alpes;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP du Massif Central;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP du Nord;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP du Sud;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP Loire et Lyonnais;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP occitane;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP Provençale et corse;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP Rives de Paris;Cooperative shareholder;
France;;;;;;;;;;Sociétariat BP Val de France;Cooperative shareholder;
France;;;;;;;;;;Société centrale du crédit maritime mutuel;services company;
France;;;;;;;;;;Société d'expansion bourgogne Franche-Comté;Holding company;
France;;;;;;;;;;Société d'investissement et de participation immobilière (Sipari);Holding company;
France;;;;;;;;;;Société immobilière provencale et corse;Holding company;
France;;;;;;;;;;Socram Banque;bank;Mise en équivalence
France;;;;;;;;;;Sofiag;Finance company;
France;;;;;;;;;;Sofider;Finance company;
France;;;;;;;;;;Sogima;Semi-public company;
France;;;;;;;;;;Sopassure;Holding company;
France;;;;;;;;;;SPGRES;Holding company;
France;;;;;;;;;;SPIG;Property Leasing;
France;;;;;;;;;;SPPICAV AEW foncière écureuil;Office space;
France;;;;;;;;;;Sud Ouest Bail;Real estate leasing;
France;;;;;;;;;;Sud participation;Holding company;
France;;;;;;;;;;Technocite Tertia;Office space;
France;;;;;;;;;;Tetris;Office space;
France;;;;;;;;;;Transimmo;Real estate agent;
France;;;;;;;;;;Triton;guarantee company;
France;;;;;;;;;;Union des sociétés du Crédit Coopératif (GIE);services company;
France;;;;;;;;;;Vauban mobilisations garanties (VMG);Finance company;
France;;;;;;;;;;Vecteur;Holding company;
France;;;;;;;;;;Vega investment managers;UCITS management company;
France;;;;;;;;;;Vendome Investissements;Holding company;
France;;;;;;;;;;Vialink;Data processing;
France;;;;;;;;;;Vivalis Investissements;Office space;
France;;;;;;;;;;Zelis actions monde;Insurance UCITS;
Grande-Bretagne;260 ;126 ;;;-91 ;499 ;19 ;0 ;19 ;AEW Europe advisory Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Europe CC Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Europe holding Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Europe investment Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Europe LLP;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Europe partnership;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Global advisors (Europe) Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Global Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW Global UK Ltd;Asset Management;
Grande-Bretagne;;;;;;;;;;AEW UK Investment Management LLP;Asset Management;
Grande-Bretagne;;;;;;;;;;H2O asset management;Asset Management;
Grande-Bretagne;;;;;;;;;;H2O asset management corporate member;Asset Management;
Grande-Bretagne;;;;;;;;;;Loomis sayles investments Ltd (UK);Asset Management;
Grande-Bretagne;;;;;;;;;;Coface UK services Ltd;Credit information and debt recovery;
Grande-Bretagne;;;;;;;;;;NGAM UK Ltd;Distribution;
Grande-Bretagne;;;;;;;;;;Natixis Londres ;Finance company;
Grande-Bretagne;;;;;;;;;;Coface UK holdings;Holding company;
Grande-Bretagne;;;;;;;;;;Coface UK (Coface SA branch);Insurance;
Grande-Bretagne;;;;;;;;;;Natixis funding UK LLP;Securitization vehicle;
Hong-Kong;124 ;25 ;;;-1 ;298 ;5 ;0 ;5 ;Aew Asia Limited;Asset Management;
Hong-Kong;;;;;;;;;;Coface Hong-Kong (Coface SA branch) ;Insurance;
Hong-Kong;;;;;;;;;;Natixis Asia Ltd;Other finance company;
Hong-Kong;;;;;;;;;;Natixis Global asset management Hong-Kong;Asset Management;
Hong-Kong;;;;;;;;;;Natixis Hong-Kong;Finance company;
Hongrie;2 ;1 ;;;0 ;37 ;2 ;0 ;2 ;AEW Central Europe Hongry;Distribution;
Hongrie;;;;;;;;;;Coface Hungary - (coface Austria branch);Insurance;
Iles Caïmans;5 ;5 ;;;0 ;0 ;2 ;0 ;2 ;Universe holdings Ltd;Structured finance;
Iles Caïmans;;;;;;;;;;Natixis New-York branch;Finance company;
Inde;0 ;0 ;;;0 ;7 ;2 ;0 ;2 ;IDFC AMC Trustee company Ltd;Financial investment advisory services;
Inde;;;;;;;;;;IDFC Asset management company;Financial investment advisory services;
Irlande;20 ;16 ;;;-1 ;9 ;6 ;0 ;6 ;Coface Ireland (Coface SA branch);Insurance;
Irlande;;;;;;;;;;Natinium Financial products;Securitization vehicle;
Irlande;;;;;;;;;;Natixis corporate solutions Ltd;Structured finance;
Irlande;;;;;;;;;;Nexgen capital Ltd;Sructured finance;
Irlande;;;;;;;;;;Nexgen financial holdings Ltd;Holding company;
Irlande;;;;;;;;;;Nexgen reinsurance Ltd;Reinsurance;
Israël;8 ;0 ;;;0 ;101 ;3 ;0 ;3 ;Business data information;Marketing and other services;
Israël;;;;;;;;;;coface holding Israel;Holding company;
Israël;;;;;;;;;;Coface Israel;Credit insurance;
Italie;167 ;75 ;;;-26 ;274 ;6 ;0 ;6 ;AEW Europe sede secondaria;Distribution;
Italie;;;;;;;;;;Coface assicurazioni SPA;Credit insurance and related services;
Italie;;;;;;;;;;Coface Italia;Holding company;
Italie;;;;;;;;;;Natixis lease Milan;Real estate and non real estate leasing;
Italie;;;;;;;;;;Natixis Milan;Finance company;
Italie;;;;;;;;;;SNGAM SA succursale Italiana;Distribution;
Japon;28 ;-6 ;;;0 ;111 ;5 ;0 ;5 ;Asahi NVEST investment advisory CO, Ltd;Distribution;
Japon;;;;;;;;;;Coface Japan (Coface SA branch);Insurance;
Japon;;;;;;;;;;Natixis Asset management Japan Co Ltd;Asset Management;
Japon;;;;;;;;;;Natixis Japan securities Co, Ltd;Finance company;
Japon;;;;;;;;;;Natixis Tokyo;Finance company;
Jersey;1 ;0 ;;;0 ;0 ;1 ;0 ;1 ;Natixis structured products Ltd;Secondary market financing;
Laos;5 ;2 ;;;0 ;164 ;2 ;0 ;2 ;Banque Franco Lao;Bank;
Laos;;;;;;;;;;BCEL;Bank;Mise en équivalence
Lettonie;1 ;0 ;;;0 ;7 ;1 ;0 ;1 ;Coface Latvia insurance (Coface Austria branch);Insurance;
Liban;0 ;0 ;;;0 ;0 ;1 ;0 ;1 ;Adir;Non-life insurance;
Lituanie;2 ;1 ;;;0 ;13 ;1 ;;1 ;LEID (Coface Austria branch);Insurance;
Luxembourg;196 ;115 ;;;-7 ;272 ;21 ;0 ;21 ;AEW Luxembourg ;Asset Management;
Luxembourg;;;;;;;;;;BCP Luxembourg;Bank;
Luxembourg;;;;;;;;;;Codeis;Private Equity;
Luxembourg;;;;;;;;;;Coface Luxembourg (Coface SA branch);Insurance;
Luxembourg;;;;;;;;;;Dhalia A sicar SCA;Private Equity;
Luxembourg;;;;;;;;;;Fili SA;Investment company;
Luxembourg;;;;;;;;;;H2O asset management holding;Asset Management;
Luxembourg;;;;;;;;;;Kennedy financement Luxembourg;Asset Management;
Luxembourg;;;;;;;;;;Kennedy financement Luxembourg 2;Asset Management;
Luxembourg;;;;;;;;;;LuxEquip bail;Real estate and non real estate leasing;
Luxembourg;;;;;;;;;;Natixis alternative assets;Holding company;
Luxembourg;;;;;;;;;;Natixis bank;International high-net worth services;
Luxembourg;;;;;;;;;;Natixis environnement & Infrastructures Luxembourg;Venture capital fund management;
Luxembourg;;;;;;;;;;Natixis Life;Life insurance;
Luxembourg;;;;;;;;;;Natixis Luxembourg Investissements;Investment company;
Luxembourg;;;;;;;;;;Natixis private Equity international  Luxembourg;Private equity holding;
Luxembourg;;;;;;;;;;Natixis real estate Feder SARL;Investment company;
Luxembourg;;;;;;;;;;Natixis structured issuance;Securitization vehicle;
Luxembourg;;;;;;;;;;Naticis Trust;Bank;
Luxembourg;;;;;;;;;;NGAM SA;Distribution;
Luxembourg;;;;;;;;;;Surassur;Reinsurance;
Madagascar;29 ;17 ;;;-3 ;365 ;2 ;0 ;2 ;Banque malgache de l'Océan indien;Bank;
Madagascar;;;;;;;;;;BM Madagascar;Bank;
Malaisie;3 ;2 ;;;0 ;4 ;1 ;0 ;1 ;Natixis Lubuan;Finance company;
Malte;1 ;1 ;;;0 ;0 ;1 ;0 ;1 ;Califano investments limited;Structured finance;
Maroc;-7 ;-8 ;;;0 ;4 ;4 ;0 ;4 ;Al mansour palace Maroc;Real estate developments;Mise en équivalence
Maroc;;;;;;;;;;BPCE Maroc;Real estate developments;
Maroc;;;;;;;;;;BPCE Maroc immobilier;Real estate developments;
Maroc;;;;;;;;;;Sky Elite Tour SARL;Real estate developments;
Maurice;16 ;2 ;;;0 ;277 ;2 ;0 ;2 ;Nexgen Mauritius Ltd;Structured finance;
Maurice;;;;;;;;;;Banque des Mascareignes;Bank;
Mexique;3 ;-3 ;;;1 ;51 ;3 ;0 ;3 ;Coface holding America Latina;Financial information;
Mexique;;;;;;;;;;Coface Seguro de credito Mexico;Insurance;
Mexique;;;;;;;;;;NGAM Mexique;Asset Management;
Monaco;11 ;10 ;;;-3 ;32 ;;;;;;
Nouvelle-Calédonie;66 ;37 ;;;-11 ;742 ;4 ;0 ;4 ;Banque Caledonienne d'investissement;Bank;Mise en équivalence
Nouvelle-Calédonie;;;;;;;;;;Banque de Nouvelle-Calédonie;Bank;
Nouvelle-Calédonie;;;;;;;;;;Oceor lease Nouméa;Non real estate leasing;
Nouvelle-Calédonie;;;;;;;;;;Société havraise calédonienne;Office space;
Pays-Bas;21 ;10 ;;;-2 ;71 ;6 ;0 ;6 ;Coface - Nederland (Coface Kredit branch);Insurance;
Pays-Bas;;;;;;;;;;Coface Nederland services;Credit information and debt recovery;
Pays-Bas;;;;;;;;;;Graydon holding;Credit information and debt recovery;
Pays-Bas;;;;;;;;;;NGAM Nedelands Filial;Distribution;
Pays-Bas;;;;;;;;;;NJR Finance BV;Financial services;
Pays-Bas;;;;;;;;;;PBW REAM;Asset Management;
Pologne;21 ;7 ;;;-2 ;212 ;5 ;0 ;5 ;AEW Central Europe;Asset Management;
Pologne;;;;;;;;;;Coface Poland (Coface Austria branch);Insurance;
Pologne;;;;;;;;;;Coface Poland CMS;Financial information;
Pologne;;;;;;;;;;Coface Poland factoring;Factoring;
Pologne;;;;;;;;;;TISE;Private equity;
Polynésie Française;55 ;17 ;;;-10 ;280 ;3 ;0 ;3 ;Banque de Tahiti;Bank;
Polynésie Française;;;;;;;;;;Oceor Lease Tahiti;Non real estate leasing;
Polynésie Française;;;;;;;;;;Socredo;Bank;Mise en équivalence
Portugal;31 ;4 ;;;-2 ;149 ;2 ;0 ;2 ;Banco primus;Bank;
Portugal;;;;;;;;;;Coface Portugal;Insurance;
République Tchèque;2 ;1 ;;;0 ;7 ;2 ;0 ;2 ;AEW Central Europe Czech;Distribution;
République Tchèque;;;;;;;;;;Coface Czech Insurance (Coface Austria branch);Insurance;
Roumanie;7 ;3 ;;;-1 ;91 ;3 ;0 ;3 ;AEW Central Europe Romania;Distribution;
Roumanie;;;;;;;;;;Coface Romania CMS;insurance;
Roumanie;;;;;;;;;;Coface Romania Insurance (Coface Austria branch);Insurance;
Russie;16 ;7 ;;;-3 ;70 ;2 ;0 ;2 ;Coface RUS insurance company;Credit insurance;
Russie;;;;;;;;;;Natixis Moscow;Overseas bank;
Singapour;69 ;39 ;;;-6 ;166 ;7 ;0 ;7 ;Absolute Asia AM;Asset Management;
Singapour;;;;;;;;;;AEW Asia PTD Ltd;Asset Management;
Singapour;;;;;;;;;;Coface Singapore (Coface SA branch);Insurance;
Singapour;;;;;;;;;;Loomis sayles investments Asia PTE Ltd;Asset Management;
Singapour;;;;;;;;;;Natixis corporate solutions (Asia) PTE Ltd;Structured finance;
Singapour;;;;;;;;;;Natixis Global asset management Asia PTE;Asset Management;
Singapour;;;;;;;;;;Natixis Singapore;Finance company;
Slovaquie;1 ;0 ;;;0 ;8 ;1 ;0 ;1 ;Coface Slovakia insurance (Coface Austria branch;Insurance;
Suède;3 ;1 ;;;0 ;16 ;2 ;0 ;2 ;Coface Sverige (Coface Kredit branch);Insurance;
Suède;;;;;;;;;;NGAM Nordics Filial;Distribution;
Suisse;5 ;-14 ;;;0 ;71 ;5 ;0 ;5 ;Banque du Léman;Bank;
Suisse;;;;;;;;;;Coface RE;Reinsurance;
Suisse;;;;;;;;;;Coface Switzerland (Coface SA branch);Insurance;
Suisse;;;;;;;;;;Euro private Equity SA;Asset Management;
Suisse;;;;;;;;;;NGAM Switzerland SARL;Asset Management;
Taïwan;2 ;2 ;;;0 ;20 ;2 ;0 ;2 ;Coface Taïwan (Coface SA branch);Insurance;
Taïwan;;;;;;;;;;NGAM securities investment consulting CO Ltd;Asset Management;
Thaïlande;5 ;0 ;;;0 ;71 ;1 ;0 ;1 ;BRED IT;IT Services;
Tunisie;33 ;6 ;;;-2 ;449 ;8 ;0 ;8 ;Arab international lease;Real estate and non real estate leasing;
Tunisie;;;;;;;;;;Banque tuniso koweitienne;Bank;
Tunisie;;;;;;;;;;Medai SA;Real estate developments;
Tunisie;;;;;;;;;;Société du Conseil et de l'intermédiation financière;Financial investment advisory services;
Tunisie;;;;;;;;;;Société tunisienne de promotion des pôles immobiliers et industriels;Real estate developments;Mise en équivalence
Tunisie;;;;;;;;;;Tunis center;Real estate developments;
Tunisie;;;;;;;;;;Univers invest (SICAR);Private equity;
Tunisie;;;;;;;;;;Univers participations (SICAF);Private equity;
Turquie;5 ;0 ;;;0 ;51 ;1 ;0 ;1 ;Coface sigorta Turquie;Insurance;
Uruguay;0 ;0 ;;;0 ;1 ;;;;;;
Vanuatu;10 ;4 ;;;0 ;110 ;2 ;0 ;2 ;BRED Vanuatu;Bank;
Vanuatu;;;;;;;;;;Foncière du Vanuatu;Real estate investment;
Vietnam;2 ;-11 ;;;0 ;52 ;1 ;0 ;1 ;Natixis Ho-Chi-Minh;Finance company;
