Pays;PNB (m€);résultat courant avant impôt;impôt courant;impôt différé;impôt sur bénéf ;Effectifs (ETP);Filiales CBCR;Filiales Périmètre en +;Total Filiales;Filiales;Activité;Mouvement de périmètre;Méthode
États-Unis;;;;;;;;;;Scaldis Capital LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;Starbird Funding corporation;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;Tender option bond municipal program;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;Via North America, Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;VPG SDI Media LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;Alamo Funding II Inc;Corporate and investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Asset Management Inc.;Investment Partners;;
États-Unis;;;;;;;;;;BNP Paribas Investment Partners USA Holdings Inc;Investment Partners;;
États-Unis;;;;;;;;;;Fischer Francis Trees & Watts Inc;Investment Partners;;
États-Unis;;;;;;;;;;Claas Financial Services Inc;Leasing solutions;;
États-Unis;;;;;;;;;;BNP Paribas US Medium Term Notes Program LLC;Sociétés de portefeuille et autres filiales;;
Finlande;5 ;-2 ;0 ;0 ;0 ;32 ;5 ;0 ;5 ;Arval oy;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Finlande;;;;;;;;;;BNP Paribas Fortis (succ. Finlande);Corporate and Investment Banking;création d'entité;
Finlande;;;;;;;;;;Alfred Berg Kapitalforvaltning AB;Investment Partners;;
Finlande;;;;;;;;;;Alfred Berg Asset Management AB (succ. Finlande);Investment Partners;;
Finlande;;;;;;;;;;Alfred Berg Rahastoyhtio Oy;Investment Partners;;
France;13497 ;1849 ;-921 ;37 ;-884 ;56953 ;158 ;0 ;158 ;Arval ECL;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
France;;;;;;;;;;Arval Service Lease;Arval;;
France;;;;;;;;;;Arval Trading;Arval;;
France;;;;;;;;;;Autovalley;Arval;;
France;;;;;;;;;;Cofiparc;Arval;;
France;;;;;;;;;;Public Location Longue Durée;Arval;;
France;;;;;;;;;;BNP Paribas Aqua;Assurance;;
France;;;;;;;;;;BNP Paribas Cardif;Assurance;;
France;;;;;;;;;;BNP Paribas Global Senior Corporate Loans;Assurance;;
France;;;;;;;;;;BNP Paribas Money 3M;Assurance;;
France;;;;;;;;;;Cardif Assurance Vie;Assurance;;
France;;;;;;;;;;Cardif Assurances Risques Divers;Assurance;;
France;;;;;;;;;;Cardif I-Services;Assurance;;
France;;;;;;;;;;Cardimmo;Assurance;;
France;;;;;;;;;;GIE BNP Paribas Cardif ;Assurance;;
France;;;;;;;;;;Icare;Assurance;Entités déconsolidées car devenues inférieures aux seuils définis par le Groupe;
France;;;;;;;;;;Icare Assurance;Assurance;Entités déconsolidées car devenues inférieures aux seuils définis par le Groupe;
France;;;;;;;;;;Natio Assurance;Assurance;;
France;;;;;;;;;;Natio Fonds Ampère 1;Assurance;;
France;;;;;;;;;;Odyssée SCI;Assurance;;
France;;;;;;;;;;Portes de Claye SCI;Assurance;;
France;;;;;;;;;;Profilea Monde Equilibre;Assurance;;
France;;;;;;;;;;Scoo SCI;Assurance;relution (variation de taux);
France;;;;;;;;;;BNP Paribas SA;Banque;;
France;;;;;;;;;;Banque de Wallis et Futuna;Banque de détail;;
France;;;;;;;;;;BNP Paribas Developpement;Banque de détail;;
France;;;;;;;;;;BNP Paribas Factor;Banque de détail;;
France;;;;;;;;;;BNP Paribas Guadeloupe;Banque de détail;;
France;;;;;;;;;;BNP Paribas Guyane;Banque de détail;;
France;;;;;;;;;;BNP Paribas Martinique;Banque de détail;;
France;;;;;;;;;;BNP Paribas Nouvelle-Calédonie;Banque de détail;;
France;;;;;;;;;;BNP Paribas Réunion;Banque de détail;;
France;;;;;;;;;;Société Alsacienne de Développement et d'expansion;Banque de détail;;
France;;;;;;;;;;Antin Participation 8;Corporate and Investment Banking;;
France;;;;;;;;;;Atargatis;Corporate and Investment Banking;;
France;;;;;;;;;;Austin Finance ;Corporate and Investment Banking;;
France;;;;;;;;;;BNP Paribas Arbitrage;Corporate and Investment Banking;;
France;;;;;;;;;;BNP Paribas Equities France;Corporate and Investment Banking;Fusion absportpion, transmission universelle du patrimoine;
France;;;;;;;;;;BNP Paribas Flexi III Deposit Euro;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le Groupe (entrée);
France;;;;;;;;;;Compagnie d'Investissement Italiens SNC;Corporate and Investment Banking;;
France;;;;;;;;;;Compagnie Investissements Opéra SNC;Corporate and Investment Banking;;
France;;;;;;;;;;Esomet;Corporate and Investment Banking;;
France;;;;;;;;;;Financière des Italiens;Corporate and Investment Banking;;
France;;;;;;;;;;Financière Paris Haussmann;Corporate and Investment Banking;;
France;;;;;;;;;;Financière Taitbout;Corporate and Investment Banking;;
France;;;;;;;;;;Laffitte Participation 22;Corporate and Investment Banking;;
France;;;;;;;;;;Méditerranéa;Corporate and Investment Banking;;
France;;;;;;;;;;Optichamps;Corporate and Investment Banking;;
France;;;;;;;;;;Parifergie;Corporate and Investment Banking;Fusion absportpion, transmission universelle du patrimoine;
France;;;;;;;;;;Parilease;Corporate and Investment Banking;;
France;;;;;;;;;;Participations Opéra;Corporate and Investment Banking;;
France;;;;;;;;;;Taitbout Participation 3 SNC;Corporate and Investment Banking;;
France;;;;;;;;;;Verner Investissements (Groupe);Corporate and Investment Banking;;
France;;;;;;;;;;BNP intercontinentale - BNPI;Europe Méditerranée;;
France;;;;;;;;;;BNP Paribas BDDI Participations;Europe Méditerranée;;
France;;;;;;;;;;BNP Paribas Asset Management SAS;Investment Partners;;
France;;;;;;;;;;BNP Paribas Capital Partners (ex- BNP Paribas Private Equity);Investment Partners;;
France;;;;;;;;;;BNP Paribas Investment Partners;investment Partners;;
France;;;;;;;;;;CamGestion;Investment Partners;;
France;;;;;;;;;;FundQuest Advisor;Investment Partners;;
France;;;;;;;;;;THEAM;Investment Partners;;
France;;;;;;;;;;Klépierre SA (Groupe);Klépierre;;
France;;;;;;;;;;Aprolis Finance;Leasing solutions;;
France;;;;;;;;;;Arius;Leasing solutions;;
France;;;;;;;;;;Artegy;Leasing solutions;;
France;;;;;;;;;;BNP Paribas Lease Group BPLG;Leasing solutions;;
France;;;;;;;;;;Claas Financial Services;Leasing solutions;;
France;;;;;;;;;;CNH Industrial Capital Europe (ex- CNH Capital Europe);Leasing solutions;;
France;;;;;;;;;;Fortis Lease (France);Leasing solutions;;
France;;;;;;;;;;JCB Finance;Leasing solutions;;
France;;;;;;;;;;MFF;Leasing solutions;;
France;;;;;;;;;;Natiocrédibail;Leasing solutions;;
France;;;;;;;;;;Natiocrédimurs;Leasing solutions;;
France;;;;;;;;;;Natioénergie 2;Leasing solutions;;
France;;;;;;;;;;Same Deutz-Fahr Finance;Leasing solutions;;
France;;;;;;;;;;Autonoria 2012 - 1 et 2;Personal Finance;;
France;;;;;;;;;;Autonoria 2014;Personal Finance;Création d'entité (entrée);
France;;;;;;;;;;Axa Banque Financement;Personal Finance;;
France;;;;;;;;;;Cafineo;Personal Finance;;
France;;;;;;;;;;Carrefour Banque;Personal Finance;;
France;;;;;;;;;;CMV Médiforce;Personal Finance;;
France;;;;;;;;;;Cofica Bail;Personal Finance;;
France;;;;;;;;;;Cofiplan;Personal Finance;;
France;;;;;;;;;;Communication Marketing Services - CMS;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;Compagnie de Gestion et de Prêts;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;Crédit Moderne Antilles Guyane;Personal Finance;;
France;;;;;;;;;;Crédit Moderne Antilles Guyane;Personal Finance;;
France;;;;;;;;;;Crédit Moderne Océan Indien;Personal Finance;;
France;;;;;;;;;;Domofinance;Personal Finance;;
France;;;;;;;;;;Domos 2011 - A et B;Personal Finance;;
France;;;;;;;;;;Effico;Personal Finance;;
France;;;;;;;;;;Facet;Personal Finance;;
France;;;;;;;;;;FCC Domos 2008;Personal Finance;;
France;;;;;;;;;;FCC Retail ABS Finance - Noria 2009;Personal Finance;;
France;;;;;;;;;;Fidecom;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;Fidem;Personal Finance;;
France;;;;;;;;;;Gestion et Services Groupe Cofinoga GIE;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;LaSer Cofinoga;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;LaSer loyalty;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;LaSer SA;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;LaSer Symag;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;Leval 20;Personal Finance;;
France;;;;;;;;;;Loisirs Finance;Personal Finance;;
France;;;;;;;;;;Norrsken Finance;Personal Finance;;
France;;;;;;;;;;BNP Paribas Personal Finance;Personal Finance;;
France;;;;;;;;;;Prêts et Services SAS;Personal Finance;;
France;;;;;;;;;;Projeo;Personal Finance;;
France;;;;;;;;;;Retail Mobile Wallet;Personal Finance;Franchissement d'un des seuils tels que définis par le groupe;
France;;;;;;;;;;Sygma Banque;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;Banque Solféa;Personal Finance ;Aquisition complémentaire (variation de taux) + D5;
France;;;;;;;;;;B*Capital;Personal Investors;;
France;;;;;;;;;;Cortal Consors;Personal Investors;Fusion absorption, transmission universelle du Patrimoine (sortie);
France;;;;;;;;;;Portzamparc Gestion;Personal Investors;entité déconsolidée car devenue inférieure aux seuils définis par le Groupe;
France;;;;;;;;;;Protzamparc Société de Bourse;Personal Investors;;
France;;;;;;;;;;BNP Paribas Dealing Services;Securities Services;;
France;;;;;;;;;;BNP Paribas Fund Services France;Securities Services;;
France;;;;;;;;;;BNP Paribas Securities Services - BP2S;Securities Services;;
France;;;;;;;;;;Asset Partners;Services immobiliers;Fusion absportion, transmission universelle du patrimoine (sortie);
France;;;;;;;;;;Auguste Thouard Expertise;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Promotion Immobilier d'Entreprise;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Résidentiel;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Résidentiel Promotion Ile-de-France;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Résidentiel Résidences Services BSA;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Résidentiel Services Clients;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Résidentiel Transaction & Conseil;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Immobilier Résidentiel V2i;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate Consult France;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate Financial Partner;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate Hotels France;Services immobiliers;Cession partielle (variation de taux);
France;;;;;;;;;;BNP Paribas Real Estate Investment Management;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate Investment Services;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate Property Management France SAS;Services immobiliers;;
France;;;;;;;;;;BNP Paribas Real Estate Transaction France;Services immobiliers;Cession partielle (variation de taux);
France;;;;;;;;;;BNP Paribas Real Estate Valuation France;Services immobiliers;;
France;;;;;;;;;;FG Ingénierie et Promotion immobilière;Services immobiliers;;
France;;;;;;;;;;immobilière des Bergues;Services immobiliers;;
France;;;;;;;;;;Partner's & Services ;Services immobiliers;;
France;;;;;;;;;;Siège Issy;Services immobiliers;;
France;;;;;;;;;;Société de Construction de Vente;Services immobiliers;96 sociétés de construction de vente dont 86 en intégration globale et 10 par MEV;
France;;;;;;;;;;BNP Paribas Home Loan SFH;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;BNP Paribas Partners for innovation (Groupe);Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;BNP Paribas Public Sector SCF;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;BNP Paribas- SME - 1 (ex-Euro Secured Notes Issuer);Sociétés de portefeuille et autres filiales;création d'entité (entrée);
France;;;;;;;;;;Compagnie d'Investissements de Paris - C.I.P;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;FCT Opéra;Sociétés de portefeuille et autres filiales;création d'entité (entrée);
France;;;;;;;;;;Financière BNP Paribas;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;Financière du Marché Saint Honoré;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;GIE Groupement Auxiliaire de Moyens;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;Omnium de Gestion et de Développement immobilier - OGDI;Sociétés de portefeuille et autres filiales;Fusion absorption, transmission universelle du Patrimoine (sortie);
France;;;;;;;;;;Société Auxiliaire de Construction Immobilière - SACI;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;Société Orbaisienne de Participations;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;UCB Bail 2;Sociétés de portefeuille et autres filiales;;
France;;;;;;;;;;UCB Entreprises;Sociétés de portefeuille et autres filiales;Fusion absorption, transmission universelle du Patrimoine (sortie);
France;;;;;;;;;;Antin Participation 5;Sociétés immobilières d'Exploitation;;
France;;;;;;;;;;Société immobilière Marché Saint-Honoré;Sociétés immobilières d'Exploitation;;
France;;;;;;;;;;BNP Paribas Wealth Management ;Wealth Management ;;
France;;;;;;;;;;Conseil Investissement SNC;Wealth Management ;;
Gabon;;;;;;;1 ;0 ;1 ;Banque internationale du commerce et de l'industrie Gabon;Europe Méditerranée;Mise en équivalence (47%);
Grèce;2 ;0 ;0 ;0 ;0 ;23 ;2 ;0 ;2 ;Arval Hellas Car Rental SA;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Grèce;;;;;;;;;;BNP Paribas Securities Services - BP2S (Grèce);Securities Services;;
Guernesey;7 ;1 ;0 ;0 ;0 ;18 ;2 ;0 ;2 ;BNP Paribas Suisse SA (succ. Guernesey);Banque;;
Guernesey;;;;;;;;;;BNP - Paribas Securities Services - BP2S (succ. Guernesey);Securities Services;;
Guinée ;;;;;;;1 ;0 ;1 ;Banque internationale du commerce et de l'industrie Guinée;Europe Méditerranée;Mise en équivalence (55,6%);
Hong-Kong;554 ;31 ;0 ;16 ;16 ;2164 ;10 ;0 ;10 ;BNP Paribas Arbitrage (Hong-Kong) Ltd;Corporate and Investment Banking;;
Hong-Kong;;;;;;;;;;BNP Paribas Capital (Asia Pacific) Ltd;Corporate and Investment Banking;;
Hong-Kong;;;;;;;;;;BNP Paribas Finance (Hong Kong) Ltd;Corporate and Investment Banking;;
Hong-Kong;;;;;;;;;;BNP Paribas SA (succ. Hong-Kong);Corporate and Investment Banking;;
Hong-Kong;;;;;;;;;;BNP Paribas Securities (Asia) Ltd;Corporate and Investment Banking;;
Hong-Kong;;;;;;;;;;BNP Paribas SJ Ltd;Corporate and Investment Banking;;
Hong-Kong;;;;;;;;;;BNP Paribas Investment Partners Asia Ltd;Investment Partners;;
Hong-Kong;;;;;;;;;;BNP Paribas Dealing Services Asia Ltd;Securities Services;;
Hong-Kong;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Hong Kong);Securities Services;;
Hong-Kong;;;;;;;;;;BNP Paribas Wealth Management (succ. Hong-Kong);Wealth Management ;;
Hongrie;80 ;23 ;-9 ;6 ;-3 ;503 ;11 ;0 ;11 ;Arval Magyaroszag KFT;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Hongrie;;;;;;;;;;Cardif Biztosito Magyarorszag Zrt;Assurance;;
Hongrie;;;;;;;;;;BNP Paribas SA (succ. Hongrie);Corporate and Investment Banking;;
Hongrie;;;;;;;;;;BNP Paribas Lease Group KFT;Leasing solutions;;
Hongrie;;;;;;;;;;BNP Paribas Lease Group lizing RT;Leasing solutions;;
Hongrie;;;;;;;;;;Fortis Lease Operativ Lizing Zartkoruen Mukodo Reszvenytarsasag;Leasing solutions;;
Hongrie;;;;;;;;;;Magyar Cetelem Bank Zrt;Personal Finance;;
Hongrie;;;;;;;;;;Oney Magyarorszag Zrt;Personal Finance;;
Hongrie;;;;;;;;;;UCB Ingatlanhitel RT;Personal Finance;;
Hongrie;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Hongrie);Securities Services;;
Hongrie;;;;;;;;;;BNP PB Real Estate Advisory & Property Management Hungary Ltd.;Services immobiliers;;
Ile de Man;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;BNP Paribas Securities Services - BP2S (succ. Ile de Man);Securities Services;Cessation d'activité dont dissolution, liquidation (sortie);
Iles Caïmans;3 ;4 ;0 ;0 ;0 ;0 ;7 ;0 ;7 ;Bank of the West (succ. Iles Cayman);Banque de détail;;
Iles Caïmans;;;;;;;;;;First Hawaïan Bank (succ. Iles Cayman);Banque de détail;;
Iles Caïmans;;;;;;;;;;BNP Paribas Fortis (succ. Iles Cayman);Corporate and Investment Banking;;
Iles Caïmans;;;;;;;;;;BNP Paribas Prime Brokerage International Ltd;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation (sortie);
Iles Caïmans;;;;;;;;;;BNP Paribas SA (succ. Iles Cayman);Corporate and Investment Banking;;
Iles Caïmans;;;;;;;;;;Marc Finance Ltd;Corporate and Investment Banking;;
Iles Caïmans;;;;;;;;;;TCG Fund I, LP;Corporate and Investment Banking;;
Inde;138 ;96 ;-43 ;-3 ;-46 ;2467 ;12 ;0 ;12 ;Arval India Private Ltd;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Inde;;;;;;;;;;State Bank of India Life insurance Company Ltd;Assurance;;
Inde;;;;;;;;;;BNP Paribas India Holding Private Ltd;Corporate and Investment Banking;;
Inde;;;;;;;;;;BNP Paribas India Solutions Private Ltd;Corporate and Investment Banking;;
Inde;;;;;;;;;;BNP Paribas SA (succ. Inde);Corporate and Investment Banking;;
Inde;;;;;;;;;;BNP Paribas Securities India Private Ltd;Corporate and Investment Banking;;
Inde;;;;;;;;;;BNP Paribas Asset Management India Private;Investment Partners;;
Inde;;;;;;;;;;SREI Equipement Finance Ltd (ex-SREI Equipement Finance Private Ltd);Leasing solutions;;
Inde;;;;;;;;;;Sundaram BNP Paribas Home Finance Ltd;Personal Finance;;
Inde;;;;;;;;;;Geojit BNP Paribas Financial Services Ltd (Groupe);Personal Investors;Aquisition complémentaire (variation de taux);
Inde;;;;;;;;;;Geojit Technologies Private Ltd;Personal Investors;Aquisition complémentaire (variation de taux);
Inde;;;;;;;;;;BNP Paribas Sundaram GSO Private Ltd;Securities Services;;
Indonésie;50 ;32 ;-11 ;2 ;-9 ;126 ;3 ;0 ;3 ;PT Bank BNP Paribas Indonesia;Corporate and Investment Banking;;
Indonésie;;;;;;;;;;PT BNP Paribas Securities Indonesia;Corporate and Investment Banking;;
Indonésie;;;;;;;;;;PT BNP Paribas Investment Partners;Investment Partners;;
Irlande;179 ;147 ;-16 ;-2 ;-18 ;174 ;20 ;0 ;20 ;Greenval Insurance Company Ltd;Arval;;
Irlande;;;;;;;;;;Darnell Ltd;Assurance;;
Irlande;;;;;;;;;;Alectra Finance PLC;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Aquarius + Investments PLC;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le groupe;
Irlande;;;;;;;;;;Aquarius Capital Investments Ltd;Corporate and Investment Banking;entité déconsolidée car devenue inférieure aux seuils définis par le groupe;
Irlande;;;;;;;;;;BNP Paribas International Finance Dublin;Corporate and Investment Banking;;
Irlande;;;;;;;;;;BNP Paribas Ireland;Corporate and Investment Banking;;
Irlande;;;;;;;;;;BNP Paribas Prime Brokerage International Ltd;Corporate and Investment Banking;Création d'entité (entrée);
Irlande;;;;;;;;;;BNP Paribas SA (succ. Irlande);Corporate and Investment Banking;;
Irlande;;;;;;;;;;BNP Paribas Vartry Reinsurance Ltd;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Madison Arbor Ltd;Corporate and Investment Banking;création d'entité (entrée);
Irlande;;;;;;;;;;Matchpoint Finance Public Limited Company;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Omega Capital Funding Ltd;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Omega Capital Investments PLC;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Scaldis Capital (Ireland) Ltd;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Utexam Logistics Ltd;Corporate and Investment Banking;;
Irlande;;;;;;;;;;Utexam Solutions Ltd;Corporate and Investment Banking;;
Irlande;;;;;;;;;;BNP Paribas Fund Services Dublin Ltd;Securities Services;;
Irlande;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Irlande);Securities Services;;
Irlande;;;;;;;;;;BNP PB Real Estate Advisory & property Management Ireland Ltd;Services immobiliers;;
Italie;4883 ;494 ;-399 ;196 ;-203 ;18056 ;41 ;0 ;41 ;Arval Service Lease Italia S.P.A;Arval;;
Italie;;;;;;;;;;BNP Paribas Cardif Vita Compagnia di Assicurazione E Riassicurazione S.P.A (ex- Cardif Assicurazioni SPA);Assurance;;
Italie;;;;;;;;;;Cardif Assurance Vie (succ. Italie);Assurance;;
Italie;;;;;;;;;;Cardif Assurances Risques Divers (succ. Italie);Assurance;;
Italie;;;;;;;;;;UBI Assicurazioni Spa;Assurance;Entités déconsolidées car devenues inférieures aux seuils définis par le Groupe;
Italie;;;;;;;;;;Artigiancassa SPA;Banque de détail;;
Italie;;;;;;;;;;Banca Nazionale del Lavoro SPA;Banque de détail;;
Italie;;;;;;;;;;BNL Finance SPA;Banque de détail;;
Italie;;;;;;;;;;BNL Positivity SRL;Banque de détail;;
Italie;;;;;;;;;;Business Partners Italia SCPA;Banque de détail;Création d'entité;
Italie;;;;;;;;;;EMF - IT 2008 - 1 SRL;Banque de détail;;
Italie;;;;;;;;;;International Factors Italia SPA - Ifitalia;Banque de détail;;
Italie;;;;;;;;;;Vela ABS SRL;Banque de détail;;
Italie;;;;;;;;;;Vela Home SRL;Banque de détail;;
Italie;;;;;;;;;;Vela Mortgages SRL;Banque de détail;;
Italie;;;;;;;;;;Vela OGB SRL;Banque de détail;;
Italie;;;;;;;;;;Vela Public Sector SRL;Banque de détail;;
Italie;;;;;;;;;;Vela RMBS SRL;Banque de détail;création d'entité;
Italie;;;;;;;;;;BNP Paribas SA (succ. Italie);Corporate and Investment Banking;;
Italie;;;;;;;;;;BNP Paribas Investment Partners Societa di Gestione del Risparmio SPA;Investment Partners;;
Italie;;;;;;;;;;BNP Paribas Lease Group BPLG (succ. Italie);Leasing solutions;;
Italie;;;;;;;;;;BNP Paribas Lease Group Leasing Solutions SPA;Leasing solutions;;
Italie;;;;;;;;;;Claas Financial Services (succ. Italie);Leasing solutions;;
Italie;;;;;;;;;;CNH Industrial Capital Europe (succ. Italie);Leasing solutions;;
Italie;;;;;;;;;;JCB Finance (succ. Italie);Leasing solutions;;
Italie;;;;;;;;;;Locatrice Italiana SPA;Leasing solutions;;
Italie;;;;;;;;;;Vela Lease SRL;Leasing solutions;;
Italie;;;;;;;;;;Bieffe 5 SPA;Personal Finance;Fusion absorption, Transmission universelle de patrimoine (sortie);
Italie;;;;;;;;;;Findomestic Banca SPA;Personal Finance;;
Italie;;;;;;;;;;Florence 1 SRL;Personal Finance;;
Italie;;;;;;;;;;Florence SPV SRL;Personal Finance;;
Italie;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Italie);Securities Services;;
Italie;;;;;;;;;;BNP Paribas Real Estate Advisory Italy SPA;Services immobiliers;;
Italie;;;;;;;;;;BNP Paribas Real Estate Investment Management Italy;Services immobiliers;;
Italie;;;;;;;;;;BNP Paribas Real Estate Italy SRL;Services immobiliers;;
Italie;;;;;;;;;;BNP Paribas Real Estate property Developpement Italy SPA;Services immobiliers;;
Italie;;;;;;;;;;BNP Paribas Real Estate property Management Italy SRL;Services immobiliers;;
Italie;;;;;;;;;;San Basilio 45 SRL;Services immobiliers;;
Italie;;;;;;;;;;Sviluppo HQ Tiburtina SRL;Services immobiliers;;
Italie;;;;;;;;;;Sviluppo Residenziale Italia SRL;Services immobiliers;;
Italie;;;;;;;;;;Via Crespi 26 SRL;Services immobiliers;;
Japon;351 ;145 ;-44 ;1 ;-43 ;710 ;8 ;0 ;8 ;Cardif Assurance Vie (succ. Japon);Assurance;;
Japon;;;;;;;;;;Cardif Assurances Risques Divers (succ. Japon);Assurance;;
Japon;;;;;;;;;;BNP Paribas Japan Ltd;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation;
Japon;;;;;;;;;;BNP Paribas Principal Investments  Japan Ltd;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation;
Japon;;;;;;;;;;BNP Paribas SA (succ. Japon);Corporate and Investment Banking;;
Japon;;;;;;;;;;BNP Paribas Securities Japan Ltd;Corporate and Investment Banking;;
Japon;;;;;;;;;;BNP Paribas SJ  Ltd (succ. Japon);Corporate and Investment Banking;;
Japon;;;;;;;;;;BNP Paribas Investment Partners Japan Ltd;Investment Partners;;
Jersey;61 ;39 ;0 ;0 ;0 ;212 ;5 ;0 ;5 ;BNP Paribas Suisse Sa (succ. Jersey);Banque;;
Jersey;;;;;;;;;;BNP Paribas Sa (succ. Jersey);Corporate and Investment Banking;;
Jersey;;;;;;;;;;Scaldis Capital Ltd;Corporate and Investment Banking;;
Jersey;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Jersey);Securities Services;;
Jersey;;;;;;;;;;BNP Paribas Real Estate Jersey Ltd;Services immobiliers;;
Koweït;7 ;3 ;0 ;0 ;0 ;27 ;1 ;0 ;1 ;BNP Paribas SA (succ. Koweït);Corporate and Investment Banking;;
Luxembourg;1186 ;566 ;-98 ;-32 ;-130 ;3664 ;35 ;0 ;35 ;Arval Luxembourg SA;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Luxembourg;;;;;;;;;;Cardif Assurances Risques Divers (succ. Luxembourg);Assurance;;
Luxembourg;;;;;;;;;;Cardif Lux Vie;Assurance;;
Luxembourg;;;;;;;;;;BGL BNP Paribas;Banque de détail;;
Luxembourg;;;;;;;;;;BGL BNP Paribas Factor SA;Banque de détail;;
Luxembourg;;;;;;;;;;BNP Paribas Fortis Funding SA;Banque de détail;;
Luxembourg;;;;;;;;;;BNP Paribas Lease Group Luxembourg SA;Banque de détail;;
Luxembourg;;;;;;;;;;Cofhylux SA;Banque de détail;;
Luxembourg;;;;;;;;;;Société immobilière de Monterey SA;Banque de détail;;
Luxembourg;;;;;;;;;;Société immobilière du Royal Building SA;Banque de détail;;
Luxembourg;;;;;;;;;;Alleray SARL;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le Groupe (entrée);
Luxembourg;;;;;;;;;;BNP Paribas SA (succ. Luxembourg);Corporate and Investment Banking;;
Luxembourg;;;;;;;;;;Crossen SARL;Corporate and Investment Banking;;
Luxembourg;;;;;;;;;;Greenstars BNP Paribas;Corporate and Investment Banking;;
Luxembourg;;;;;;;;;;Grenache et Cie SNC;Corporate and Investment Banking;cessation d'activité dont dissolution, liquidation (sortie);
Luxembourg;;;;;;;;;;Hime Holding 1 SA;Corporate and Investment Banking;;
Luxembourg;;;;;;;;;;Hime Holding 2 SA;Corporate and Investment Banking;;
